[0.05, 0.075, 0.10333333333333333, 0.1175, 0.118, 0.13666666666666666, 0.14714285714285713, 0.17125, 0.19333333333333333, 0.215, 0.269, 0.321, 0.373, 0.402, 0.43, 0.464, 0.5, 0.535, 0.559, 0.586, 0.603, 0.601, 0.58, 0.59, 0.619, 0.628, 0.654, 0.645, 0.64, 0.658, 0.687, 0.702, 0.734, 0.721, 0.724, 0.717, 0.707, 0.694, 0.672, 0.626, 0.553, 0.56, 0.549, 0.545, 0.519, 0.521, 0.536, 0.563, 0.615, 0.623, 0.639, 0.6, 0.572, 0.587, 0.596, 0.583, 0.54, 0.513, 0.484, 0.504, 0.521, 0.547, 0.602, 0.597, 0.601, 0.615, 0.64, 0.647, 0.648, 0.647, 0.641, 0.618, 0.612, 0.664, 0.7, 0.757, 0.838, 0.951, 1.061, 1.138, 1.234, 1.332, 1.427, 1.466, 1.512, 1.58, 1.569, 1.484, 1.444, 1.397, 1.346, 1.285, 1.211, 1.199, 1.246, 1.23, 1.308, 1.426, 1.562, 1.777, 2.042, 2.324, 2.765, 3.151, 3.456, 3.72, 3.984, 4.281, 4.522, 4.708, 4.777, 4.921, 4.832, 4.867, 4.861, 4.962, 5.034, 5.098, 5.157, 5.257, 5.454, 5.574, 5.714, 5.748, 5.847, 5.936, 6.038, 6.002, 6.131, 6.208, 6.288, 6.293, 6.398, 6.591, 6.668, 6.773, 6.809, 6.96, 7.139, 7.22, 7.257, 7.439, 7.548, 7.637, 7.871, 8.104, 8.301, 8.433, 8.425, 8.524, 8.671, 8.804, 8.839, 9.077, 9.178, 9.209, 9.392, 9.693, 9.858, 9.942, 10.161, 10.315, 10.399, 10.334, 10.409, 10.478, 10.499, 10.473, 10.653, 10.999, 11.097, 11.249, 11.574, 11.879, 12.22, 12.534, 12.788, 13.045, 13.364, 13.399, 13.702, 14.007, 14.241, 14.505, 14.617, 14.949, 15.229, 15.374, 15.424, 15.721, 15.758, 15.799, 16.088, 16.132, 16.303, 16.381, 16.483, 16.688, 16.841]
[0.08, 0.06, 0.05333333333333334, 0.055, 0.076, 0.09833333333333333, 0.11, 0.12125, 0.13444444444444445, 0.165, 0.201, 0.241, 0.287, 0.324, 0.344, 0.367, 0.409, 0.433, 0.454, 0.454, 0.453, 0.449, 0.446, 0.443, 0.459, 0.471, 0.474, 0.477, 0.491, 0.501, 0.553, 0.567, 0.589, 0.608, 0.631, 0.635, 0.635, 0.677, 0.683, 0.715, 0.683, 0.687, 0.671, 0.678, 0.648, 0.646, 0.625, 0.591, 0.594, 0.582, 0.586, 0.582, 0.6, 0.628, 0.689, 0.699, 0.765, 0.8, 0.849, 0.869, 0.884, 0.924, 0.957, 0.902, 0.873, 0.887, 0.868, 0.859, 0.814, 0.793, 0.833, 0.906, 0.93, 0.954, 0.947, 0.943, 0.969, 1.011, 1.045, 1.073, 1.182, 1.222, 1.236, 1.288, 1.503, 1.639, 1.792, 1.869, 2.006, 2.143, 2.226, 2.383, 2.618, 2.91, 2.993, 3.252, 3.341, 3.467, 3.529, 3.647, 3.735, 3.622, 3.527, 3.511, 3.598, 3.578, 3.673, 3.879, 4.034, 4.141, 4.265, 4.466, 4.692, 4.774, 4.743, 4.852, 4.982, 5.097, 5.14, 5.199, 5.236, 5.376, 5.481, 5.477, 5.671, 5.705, 5.744, 5.709, 5.825, 5.94, 6.028, 6.108, 6.151, 6.38, 6.37, 6.411, 6.496, 6.698, 6.774, 6.829, 6.937, 7.067, 7.207, 7.244, 7.442, 7.498, 7.557, 7.535, 7.595, 7.7, 7.78, 7.88, 8.038, 8.097, 8.233, 8.466, 8.64, 8.747, 9.012, 9.297, 9.531, 9.676, 9.747, 9.989, 10.195, 10.347, 10.603, 10.925, 10.919, 11.056, 11.177, 11.315, 11.641, 11.905, 12.106, 12.555, 12.902, 13.137, 13.741, 14.174, 14.644, 15.199, 15.611, 16.084, 16.519, 16.852, 17.236, 17.559, 17.736, 17.963, 18.293, 18.385, 18.382, 18.391, 18.428, 18.48, 18.35, 18.436, 18.522]
[0.04, 0.08, 0.08333333333333333, 0.0975, 0.11, 0.12833333333333333, 0.15714285714285714, 0.17375, 0.2088888888888889, 0.243, 0.299, 0.34, 0.377, 0.404, 0.435, 0.451, 0.454, 0.47, 0.458, 0.442, 0.435, 0.46, 0.489, 0.512, 0.547, 0.584, 0.606, 0.611, 0.641, 0.712, 0.753, 0.74, 0.734, 0.737, 0.703, 0.69, 0.711, 0.763, 0.799, 0.761, 0.737, 0.735, 0.72, 0.738, 0.771, 0.807, 0.83, 0.794, 0.77, 0.753, 0.771, 0.803, 0.857, 0.866, 0.908, 0.957, 0.975, 1.066, 1.122, 1.177, 1.153, 1.141, 1.173, 1.292, 1.286, 1.304, 1.312, 1.24, 1.156, 1.131, 1.133, 1.126, 1.05, 0.906, 0.827, 0.733, 0.672, 0.644, 0.693, 0.719, 0.785, 0.863, 0.89, 0.952, 1.059, 1.123, 1.19, 1.269, 1.266, 1.296, 1.297, 1.282, 1.319, 1.332, 1.373, 1.397, 1.466, 1.587, 1.752, 1.878, 1.997, 2.116, 2.254, 2.312, 2.484, 2.642, 2.77, 2.857, 3.072, 3.289, 3.563, 3.797, 4.056, 4.416, 4.604, 4.745, 4.981, 5.096, 5.232, 5.357, 5.409, 5.509, 5.636, 5.773, 5.888, 6.022, 6.005, 6.234, 6.306, 6.369, 6.387, 6.512, 6.578, 6.564, 6.578, 6.824, 7.009, 7.029, 7.063, 7.158, 7.387, 7.42, 7.547, 7.621, 7.922, 8.009, 8.174, 8.292, 8.512, 8.627, 8.669, 8.84, 9.065, 9.214, 9.169, 9.222, 9.301, 9.51, 9.621, 9.838, 10.151, 10.267, 10.355, 10.507, 10.751, 11.013, 11.412, 11.708, 12.016, 12.282, 12.479, 12.839, 13.094, 13.556, 13.923, 14.263, 14.396, 14.734, 15.116, 15.516, 15.869, 16.263, 16.568, 16.758, 16.845, 17.018, 17.306, 17.487, 17.477, 17.604, 17.797, 17.819, 17.857, 18.002, 18.28, 18.38, 18.513, 18.517, 18.696]
[0.05, 0.075, 0.08333333333333333, 0.085, 0.096, 0.11166666666666666, 0.11571428571428571, 0.1375, 0.14333333333333334, 0.169, 0.2, 0.231, 0.248, 0.275, 0.322, 0.358, 0.399, 0.411, 0.433, 0.434, 0.443, 0.47, 0.503, 0.508, 0.505, 0.503, 0.518, 0.53, 0.575, 0.58, 0.589, 0.573, 0.569, 0.589, 0.586, 0.589, 0.575, 0.598, 0.613, 0.647, 0.67, 0.688, 0.723, 0.719, 0.735, 0.785, 0.82, 0.823, 0.862, 0.9, 0.966, 1.002, 1.021, 1.055, 1.089, 1.076, 1.055, 1.065, 0.999, 0.943, 0.856, 0.781, 0.743, 0.719, 0.676, 0.641, 0.639, 0.64, 0.672, 0.747, 0.772, 0.832, 0.869, 0.89, 0.908, 0.972, 0.998, 1.038, 1.09, 1.082, 1.162, 1.164, 1.241, 1.271, 1.361, 1.406, 1.552, 1.639, 1.643, 1.734, 1.91, 2.046, 2.192, 2.384, 2.568, 2.733, 2.885, 3.015, 3.247, 3.371, 3.347, 3.39, 3.372, 3.376, 3.493, 3.577, 3.586, 3.737, 3.758, 3.794, 3.885, 4.149, 4.361, 4.615, 4.747, 4.869, 5.019, 5.163, 5.368, 5.596, 5.779, 5.8, 5.889, 5.917, 5.843, 5.911, 5.975, 5.951, 5.94, 6.064, 6.195, 6.327, 6.458, 6.62, 6.746, 6.911, 7.069, 7.314, 7.517, 7.551, 7.586, 7.761, 7.828, 7.907, 8.216, 8.246, 8.381, 8.392, 8.475, 8.676, 8.828, 8.928, 9.064, 9.157, 9.226, 9.419, 9.553, 9.724, 9.908, 9.958, 10.053, 10.361, 10.719, 10.942, 11.158, 11.417, 11.716, 11.98, 12.22, 12.531, 12.818, 12.858, 13.013, 13.407, 13.551, 13.812, 13.879, 14.191, 14.424, 14.818, 15.178, 15.612, 15.966, 16.134, 16.475, 16.789, 17.116, 17.296, 17.617, 17.833, 18.136, 18.349, 18.368, 18.605, 18.814, 18.879, 19.168, 19.344, 19.431]
[0.08, 0.07, 0.06666666666666667, 0.06, 0.1, 0.10333333333333333, 0.12142857142857143, 0.12875, 0.14666666666666667, 0.174, 0.205, 0.24, 0.271, 0.3, 0.309, 0.341, 0.356, 0.371, 0.381, 0.393, 0.407, 0.425, 0.445, 0.465, 0.479, 0.495, 0.511, 0.549, 0.573, 0.583, 0.587, 0.579, 0.58, 0.557, 0.556, 0.554, 0.559, 0.532, 0.54, 0.57, 0.583, 0.618, 0.641, 0.701, 0.713, 0.719, 0.726, 0.728, 0.729, 0.724, 0.729, 0.704, 0.747, 0.776, 0.783, 0.78, 0.805, 0.872, 0.934, 0.97, 0.969, 1.005, 0.989, 0.955, 0.965, 0.994, 0.972, 0.96, 0.915, 0.885, 0.88, 0.862, 0.844, 0.838, 0.831, 0.817, 0.854, 0.867, 0.858, 0.934, 0.935, 0.929, 0.96, 0.956, 0.968, 1.052, 1.119, 1.092, 1.167, 1.116, 1.146, 1.147, 1.107, 1.072, 1.064, 1.016, 0.954, 0.968, 0.925, 1.001, 1.14, 1.325, 1.483, 1.79, 2.011, 2.203, 2.534, 2.775, 3.088, 3.289, 3.531, 3.74, 4.027, 4.183, 4.398, 4.523, 4.607, 4.848, 4.938, 5.14, 5.229, 5.318, 5.392, 5.39, 5.39, 5.577, 5.601, 5.641, 5.859, 5.879, 5.975, 6.056, 6.202, 6.436, 6.744, 6.901, 7.031, 7.142, 7.176, 7.447, 7.6, 7.854, 7.931, 8.045, 8.088, 8.171, 8.413, 8.59, 8.759, 8.712, 8.93, 8.961, 9.127, 9.298, 9.407, 9.549, 9.764, 9.971, 10.165, 10.325, 10.45, 10.56, 10.835, 10.995, 11.181, 11.523, 11.717, 11.795, 12.016, 12.343, 12.61, 12.931, 13.072, 13.323, 13.582, 13.946, 14.238, 14.703, 14.997, 15.479, 15.831, 16.265, 16.633, 16.863, 17.207, 17.177, 17.282, 17.335, 17.469, 17.354, 17.277, 17.279, 17.28, 17.607, 17.64, 17.861, 17.97, 18.277, 18.516]
[0.03, 0.02, 0.023333333333333334, 0.04, 0.054, 0.07333333333333333, 0.09714285714285714, 0.11875, 0.14888888888888888, 0.174, 0.217, 0.261, 0.323, 0.369, 0.436, 0.465, 0.482, 0.487, 0.492, 0.501, 0.51, 0.545, 0.532, 0.524, 0.511, 0.527, 0.554, 0.578, 0.615, 0.651, 0.65, 0.609, 0.605, 0.598, 0.574, 0.558, 0.546, 0.559, 0.538, 0.505, 0.519, 0.548, 0.604, 0.656, 0.709, 0.723, 0.766, 0.8, 0.846, 0.891, 0.962, 1.031, 1.073, 1.126, 1.156, 1.215, 1.238, 1.357, 1.463, 1.52, 1.557, 1.59, 1.587, 1.618, 1.628, 1.614, 1.625, 1.507, 1.374, 1.295, 1.208, 1.194, 1.204, 1.266, 1.341, 1.411, 1.421, 1.439, 1.467, 1.487, 1.54, 1.486, 1.441, 1.274, 1.174, 1.17, 1.281, 1.397, 1.532, 1.597, 1.653, 1.771, 1.89, 2.134, 2.387, 2.398, 2.435, 2.538, 2.691, 2.927, 3.142, 3.304, 3.481, 3.593, 3.533, 3.725, 3.899, 4.116, 4.169, 4.245, 4.255, 4.357, 4.451, 4.555, 4.89, 5.108, 5.154, 5.178, 5.301, 5.419, 5.589, 5.748, 5.874, 5.944, 5.924, 5.95, 6.116, 6.211, 6.318, 6.436, 6.519, 6.55, 6.593, 6.683, 6.613, 6.656, 6.836, 6.968, 7.02, 7.052, 7.114, 7.326, 7.58, 7.762, 8.009, 8.201, 8.265, 8.479, 8.581, 8.891, 9.118, 9.187, 9.198, 9.464, 9.734, 9.926, 10.057, 10.051, 10.283, 10.386, 10.652, 10.968, 11.105, 11.252, 11.51, 11.625, 11.969, 12.44, 12.777, 13.152, 13.325, 13.646, 14.16, 14.519, 14.868, 15.382, 15.474, 15.652, 15.841, 15.912, 16.134, 16.104, 16.128, 16.148, 16.216, 16.218, 16.478, 16.372, 16.513, 16.635, 16.767, 17.073, 17.072, 17.134, 17.234, 17.402, 17.463, 17.752, 17.764]
[0.04, 0.05, 0.056666666666666664, 0.07, 0.084, 0.085, 0.11142857142857143, 0.135, 0.1711111111111111, 0.189, 0.223, 0.284, 0.311, 0.338, 0.385, 0.416, 0.445, 0.469, 0.46, 0.47, 0.472, 0.452, 0.452, 0.458, 0.438, 0.446, 0.454, 0.473, 0.499, 0.531, 0.556, 0.567, 0.575, 0.578, 0.575, 0.572, 0.579, 0.568, 0.558, 0.581, 0.58, 0.614, 0.629, 0.656, 0.708, 0.763, 0.754, 0.758, 0.771, 0.744, 0.757, 0.733, 0.741, 0.761, 0.759, 0.772, 0.838, 0.917, 0.963, 0.964, 0.969, 0.974, 0.988, 0.973, 0.976, 0.94, 0.889, 0.826, 0.81, 0.826, 0.843, 0.898, 0.917, 0.924, 0.881, 0.851, 0.853, 0.826, 0.782, 0.746, 0.699, 0.619, 0.565, 0.525, 0.519, 0.519, 0.478, 0.458, 0.472, 0.471, 0.471, 0.476, 0.492, 0.497, 0.538, 0.543, 0.558, 0.558, 0.536, 0.539, 0.542, 0.539, 0.533, 0.567, 0.567, 0.636, 0.717, 0.798, 0.895, 0.958, 1.053, 1.22, 1.377, 1.586, 1.889, 2.142, 2.272, 2.555, 2.906, 3.31, 3.72, 4.09, 4.51, 4.834, 5.195, 5.544, 5.873, 6.128, 6.406, 6.575, 6.667, 6.79, 6.833, 6.976, 6.935, 7.069, 7.205, 7.295, 7.415, 7.623, 7.752, 7.959, 8.146, 8.262, 8.406, 8.513, 8.68, 8.852, 8.784, 8.734, 8.791, 8.802, 8.817, 8.783, 8.792, 8.81, 8.833, 8.97, 9.141, 9.286, 9.423, 9.543, 9.672, 9.799, 9.906, 10.116, 10.302, 10.346, 10.678, 10.981, 11.209, 11.368, 11.723, 12.217, 12.571, 12.961, 13.418, 13.877, 14.181, 14.498, 14.897, 15.241, 15.409, 15.595, 15.93, 16.055, 16.087, 16.351, 16.42, 16.48, 16.538, 16.761, 16.935, 17.15, 17.328, 17.439, 17.732, 17.738, 17.785]
[0.09, 0.06, 0.07333333333333333, 0.09, 0.09, 0.10333333333333333, 0.11, 0.125, 0.13444444444444445, 0.154, 0.164, 0.19, 0.223, 0.248, 0.282, 0.313, 0.356, 0.393, 0.42, 0.434, 0.472, 0.505, 0.528, 0.552, 0.555, 0.601, 0.615, 0.628, 0.653, 0.662, 0.657, 0.657, 0.676, 0.655, 0.664, 0.621, 0.591, 0.546, 0.535, 0.542, 0.584, 0.597, 0.597, 0.642, 0.664, 0.687, 0.727, 0.76, 0.781, 0.817, 0.781, 0.77, 0.733, 0.707, 0.681, 0.686, 0.686, 0.717, 0.716, 0.71, 0.75, 0.797, 0.873, 0.89, 0.945, 1.001, 1.05, 1.085, 1.1, 1.17, 1.255, 1.325, 1.424, 1.583, 1.778, 1.944, 2.057, 2.171, 2.221, 2.187, 2.15, 2.133, 2.135, 2.225, 2.168, 2.153, 2.119, 2.147, 2.24, 2.362, 2.546, 2.738, 2.734, 2.695, 2.773, 2.877, 2.967, 3.054, 3.154, 3.256, 3.367, 3.449, 3.558, 3.699, 3.821, 3.802, 3.85, 3.93, 4.091, 4.227, 4.321, 4.405, 4.61, 4.748, 4.926, 5.047, 5.226, 5.33, 5.354, 5.466, 5.548, 5.553, 5.556, 5.61, 5.613, 5.685, 5.78, 5.98, 6.264, 6.33, 6.493, 6.637, 6.733, 6.78, 6.851, 7.004, 7.125, 6.998, 6.949, 6.941, 6.988, 7.115, 7.297, 7.465, 7.566, 7.764, 7.847, 8.125, 8.335, 8.5, 8.384, 8.543, 8.693, 8.758, 8.971, 8.966, 9.163, 9.297, 9.412, 9.668, 9.997, 10.189, 10.332, 10.788, 10.983, 11.272, 11.559, 11.855, 11.993, 12.184, 12.53, 12.824, 13.031, 13.153, 13.416, 13.861, 14.341, 14.617, 15.225, 15.639, 15.888, 16.203, 16.692, 16.882, 17.178, 17.331, 17.269, 17.379, 17.333, 17.338, 17.29, 17.262, 17.063, 17.057, 16.915, 16.747, 16.715, 16.609, 16.526]
[0.01, 0.02, 0.03333333333333333, 0.0475, 0.058, 0.07666666666666666, 0.09428571428571429, 0.11375, 0.13777777777777778, 0.157, 0.181, 0.204, 0.238, 0.265, 0.29, 0.318, 0.346, 0.37, 0.371, 0.369, 0.377, 0.406, 0.426, 0.458, 0.49, 0.526, 0.574, 0.601, 0.658, 0.717, 0.773, 0.798, 0.808, 0.81, 0.807, 0.769, 0.732, 0.718, 0.679, 0.639, 0.61, 0.612, 0.599, 0.588, 0.575, 0.612, 0.655, 0.654, 0.662, 0.692, 0.698, 0.684, 0.715, 0.721, 0.756, 0.776, 0.785, 0.797, 0.809, 0.797, 0.826, 0.849, 0.842, 0.894, 0.941, 0.957, 1.011, 1.097, 1.113, 1.163, 1.196, 1.217, 1.226, 1.191, 1.155, 1.188, 1.141, 1.079, 1.077, 1.065, 1.016, 0.995, 0.98, 1, 1.07, 1.026, 0.994, 1.042, 1.086, 1.199, 1.352, 1.44, 1.633, 1.679, 1.735, 1.831, 2.071, 2.29, 2.489, 2.711, 2.761, 2.832, 2.911, 3.122, 3.401, 3.712, 3.831, 3.889, 3.927, 3.953, 4.057, 4.319, 4.449, 4.613, 4.791, 4.924, 4.925, 5.035, 5.315, 5.407, 5.597, 5.804, 5.914, 6.051, 6.083, 6.103, 6.374, 6.483, 6.425, 6.545, 6.666, 6.723, 6.911, 7.011, 7.007, 7.106, 7.24, 7.448, 7.717, 7.938, 8.064, 8.186, 8.23, 8.324, 8.508, 8.582, 8.608, 8.662, 8.692, 8.69, 8.824, 8.943, 9.09, 9.255, 9.409, 9.549, 9.731, 9.937, 10.025, 10.293, 10.319, 10.318, 10.351, 10.406, 10.512, 10.561, 10.585, 10.485, 10.685, 10.903, 11.101, 11.404, 11.661, 12.009, 12.241, 12.639, 13.109, 13.706, 14.189, 14.42, 14.937, 15.376, 15.922, 16.236, 16.52, 16.808, 16.965, 16.987, 17.068, 17.116, 17.043, 16.761, 16.505, 16.383, 16.227, 16.217, 16.222, 16.273, 16.18]
[0.01, 0.03, 0.09, 0.1075, 0.126, 0.13666666666666666, 0.16857142857142857, 0.20375, 0.22333333333333333, 0.241, 0.283, 0.319, 0.355, 0.382, 0.428, 0.455, 0.492, 0.511, 0.525, 0.556, 0.573, 0.592, 0.575, 0.587, 0.594, 0.631, 0.627, 0.635, 0.671, 0.68, 0.738, 0.758, 0.77, 0.778, 0.775, 0.728, 0.711, 0.705, 0.673, 0.668, 0.644, 0.637, 0.651, 0.639, 0.622, 0.653, 0.671, 0.668, 0.645, 0.605, 0.57, 0.562, 0.57, 0.592, 0.651, 0.667, 0.654, 0.695, 0.744, 0.795, 0.805, 0.799, 0.813, 0.816, 0.812, 0.846, 0.882, 0.892, 0.892, 0.871, 0.868, 0.912, 0.895, 0.934, 0.887, 0.828, 0.793, 0.741, 0.72, 0.699, 0.674, 0.624, 0.588, 0.54, 0.536, 0.583, 0.598, 0.595, 0.646, 0.692, 0.766, 0.889, 1.042, 1.139, 1.347, 1.505, 1.734, 1.955, 2.152, 2.382, 2.703, 2.942, 3.105, 3.311, 3.562, 3.729, 3.863, 4.077, 4.246, 4.421, 4.506, 4.647, 4.822, 5.031, 5.049, 5.169, 5.374, 5.415, 5.585, 5.742, 5.855, 5.907, 5.987, 6.046, 6.091, 6.204, 6.221, 6.398, 6.462, 6.492, 6.405, 6.485, 6.477, 6.45, 6.514, 6.573, 6.617, 6.585, 6.636, 6.658, 6.854, 6.934, 7.129, 7.403, 7.481, 7.478, 7.661, 7.868, 7.927, 8.134, 8.257, 8.384, 8.558, 8.558, 8.776, 8.989, 9.044, 9.204, 9.51, 9.655, 9.916, 10.006, 10.121, 10.33, 10.539, 10.813, 10.933, 11.203, 11.378, 11.694, 11.818, 12.086, 12.188, 12.572, 12.989, 13.353, 13.8, 14.225, 14.564, 14.972, 15.528, 16.083, 16.778, 17.033, 17.274, 17.524, 17.64, 17.364, 17.416, 17.33, 17.069, 16.816, 16.395, 16.003, 15.728, 15.403, 15.232, 15.342, 15.245]
