[0.01, 0.06, 0.056666666666666664, 0.075, 0.09, 0.09333333333333334, 0.10571428571428572, 0.12, 0.13, 0.131, 0.158, 0.167, 0.183, 0.191, 0.194, 0.203, 0.213, 0.215, 0.209, 0.216, 0.207, 0.22, 0.217, 0.217, 0.217, 0.216, 0.207, 0.202, 0.218, 0.218, 0.231, 0.239, 0.256, 0.275, 0.292, 0.334, 0.365, 0.389, 0.395, 0.413, 0.424, 0.426, 0.427, 0.416, 0.424, 0.397, 0.39, 0.373, 0.375, 0.369, 0.353, 0.339, 0.336, 0.353, 0.363, 0.378, 0.392, 0.425, 0.464, 0.519, 0.547, 0.596, 0.632, 0.638, 0.701, 0.765, 0.789, 0.784, 0.735, 0.673, 0.648, 0.606, 0.601, 0.607, 0.557, 0.509, 0.477, 0.476, 0.519, 0.552, 0.599, 0.617, 0.635, 0.637, 0.626, 0.592, 0.58, 0.585, 0.542, 0.52, 0.482, 0.459, 0.419, 0.404, 0.389, 0.409, 0.401, 0.379, 0.396, 0.415, 0.428, 0.452, 0.467, 0.48, 0.522, 0.628, 0.738, 0.797, 0.882, 0.939, 1.054, 1.186, 1.317, 1.392, 1.568, 1.608, 1.802, 2.106, 2.394, 2.724, 2.968, 3.191, 3.461, 3.769, 4.021, 4.245, 4.428, 4.606, 4.681, 4.835, 4.996, 5.096, 5.285, 5.451, 5.488, 5.672, 5.838, 5.949, 6.197, 6.396, 6.598, 6.809, 6.98, 7.145, 7.379, 7.594, 7.722, 7.989, 8.205, 8.281, 8.404, 8.624, 8.761, 8.888, 9.044, 9.244, 9.39, 9.356, 9.452, 9.58, 9.674, 9.857, 9.95, 10.163, 10.366, 10.504, 10.589, 10.904, 11.071, 11.335, 11.544, 11.689, 11.894, 12.11, 12.358, 12.563, 12.828, 12.831, 12.975, 13.111, 13.271, 13.518, 13.637, 13.797, 13.803, 13.877, 13.968, 14.073, 14.01, 14.004, 14.094, 13.971, 13.995, 13.826, 13.814, 13.811, 13.784, 13.941, 14.052]
[0.07, 0.07, 0.08, 0.07, 0.076, 0.095, 0.11714285714285715, 0.12875, 0.13111111111111112, 0.141, 0.165, 0.18, 0.198, 0.226, 0.232, 0.237, 0.245, 0.238, 0.243, 0.245, 0.231, 0.229, 0.218, 0.218, 0.226, 0.233, 0.229, 0.237, 0.239, 0.237, 0.25, 0.252, 0.262, 0.251, 0.253, 0.253, 0.243, 0.239, 0.238, 0.24, 0.237, 0.248, 0.246, 0.254, 0.251, 0.253, 0.258, 0.272, 0.28, 0.286, 0.305, 0.299, 0.312, 0.32, 0.332, 0.332, 0.366, 0.393, 0.416, 0.44, 0.468, 0.48, 0.487, 0.498, 0.524, 0.566, 0.607, 0.663, 0.718, 0.786, 0.846, 1.003, 1.112, 1.226, 1.29, 1.372, 1.45, 1.549, 1.687, 1.71, 1.688, 1.652, 1.556, 1.464, 1.395, 1.284, 1.149, 0.977, 0.785, 0.686, 0.633, 0.537, 0.534, 0.517, 0.509, 0.506, 0.499, 0.496, 0.489, 0.49, 0.487, 0.466, 0.491, 0.513, 0.524, 0.553, 0.591, 0.626, 0.653, 0.663, 0.676, 0.714, 0.706, 0.741, 0.83, 0.89, 0.943, 1.037, 1.109, 1.257, 1.445, 1.642, 1.856, 2.096, 2.384, 2.761, 3.185, 3.612, 4.081, 4.519, 4.857, 5.284, 5.6, 6.012, 6.272, 6.471, 6.685, 6.811, 6.904, 6.994, 7.156, 7.118, 7.198, 7.285, 7.348, 7.389, 7.303, 7.357, 7.455, 7.551, 7.63, 7.773, 7.844, 7.939, 7.975, 7.999, 8.254, 8.371, 8.351, 8.484, 8.567, 8.581, 8.738, 8.798, 8.951, 9.087, 9.063, 9.292, 9.56, 9.66, 9.887, 10.248, 10.506, 10.748, 11.116, 11.453, 11.834, 11.906, 12.066, 12.191, 12.365, 12.498, 12.572, 12.61, 12.493, 12.532, 12.461, 12.555, 12.706, 12.766, 12.697, 12.671, 12.736, 12.772, 12.844, 12.844, 12.955, 12.932, 12.803]
[0.05, 0.055, 0.056666666666666664, 0.07, 0.092, 0.10166666666666667, 0.11142857142857143, 0.1275, 0.15333333333333332, 0.153, 0.167, 0.18, 0.187, 0.197, 0.196, 0.209, 0.21, 0.204, 0.193, 0.203, 0.205, 0.223, 0.247, 0.263, 0.27, 0.278, 0.296, 0.321, 0.34, 0.349, 0.361, 0.359, 0.345, 0.332, 0.351, 0.344, 0.338, 0.324, 0.335, 0.356, 0.357, 0.349, 0.369, 0.379, 0.366, 0.371, 0.372, 0.371, 0.351, 0.331, 0.34, 0.359, 0.359, 0.352, 0.349, 0.361, 0.368, 0.368, 0.388, 0.408, 0.403, 0.4, 0.413, 0.438, 0.472, 0.48, 0.523, 0.567, 0.564, 0.563, 0.581, 0.585, 0.581, 0.576, 0.561, 0.566, 0.54, 0.535, 0.55, 0.56, 0.55, 0.579, 0.576, 0.58, 0.588, 0.574, 0.59, 0.582, 0.593, 0.609, 0.68, 0.679, 0.737, 0.767, 0.794, 0.848, 0.877, 0.904, 0.903, 0.906, 0.878, 0.888, 0.867, 0.904, 0.9, 0.853, 0.795, 0.754, 0.742, 0.695, 0.658, 0.628, 0.585, 0.524, 0.505, 0.508, 0.515, 0.539, 0.557, 0.594, 0.602, 0.656, 0.753, 0.883, 1.094, 1.371, 1.712, 2.108, 2.484, 2.902, 3.353, 3.707, 4.12, 4.521, 4.901, 5.162, 5.474, 5.657, 5.864, 6.039, 6.205, 6.452, 6.628, 6.768, 6.888, 7.105, 7.262, 7.425, 7.422, 7.627, 7.812, 7.912, 8.03, 8.274, 8.416, 8.541, 8.531, 8.635, 8.839, 8.926, 9.064, 9.216, 9.268, 9.235, 9.211, 9.314, 9.47, 9.572, 9.616, 9.586, 9.572, 9.609, 9.834, 10.013, 10.297, 10.475, 10.632, 10.92, 11.298, 11.521, 11.865, 12.176, 12.428, 12.651, 12.843, 13, 13.152, 13.168, 13.351, 13.581, 13.676, 13.658, 13.595, 13.441, 13.456, 13.269, 13.269, 13.409, 13.361]
[0.05, 0.06, 0.09, 0.0925, 0.092, 0.11833333333333333, 0.11714285714285715, 0.13125, 0.13111111111111112, 0.152, 0.16, 0.173, 0.181, 0.185, 0.203, 0.197, 0.205, 0.195, 0.206, 0.183, 0.193, 0.19, 0.191, 0.208, 0.202, 0.214, 0.217, 0.22, 0.219, 0.23, 0.232, 0.248, 0.246, 0.234, 0.241, 0.234, 0.255, 0.273, 0.28, 0.284, 0.301, 0.309, 0.311, 0.328, 0.343, 0.368, 0.358, 0.373, 0.383, 0.413, 0.418, 0.418, 0.45, 0.463, 0.474, 0.472, 0.483, 0.482, 0.504, 0.487, 0.482, 0.498, 0.5, 0.516, 0.523, 0.527, 0.541, 0.545, 0.554, 0.57, 0.583, 0.58, 0.58, 0.571, 0.546, 0.555, 0.554, 0.565, 0.539, 0.529, 0.523, 0.499, 0.497, 0.496, 0.535, 0.529, 0.531, 0.556, 0.562, 0.584, 0.586, 0.606, 0.615, 0.616, 0.588, 0.597, 0.604, 0.607, 0.648, 0.674, 0.741, 0.77, 0.786, 0.857, 0.915, 0.975, 1.028, 1.051, 1.027, 1.023, 1.049, 1.17, 1.206, 1.179, 1.25, 1.319, 1.391, 1.5, 1.663, 1.803, 2.022, 2.222, 2.603, 3.038, 3.481, 3.85, 4.252, 4.72, 5.119, 5.496, 5.77, 6.064, 6.202, 6.304, 6.433, 6.574, 6.64, 6.541, 6.677, 6.749, 6.796, 6.827, 6.882, 6.981, 6.99, 6.915, 7.155, 7.444, 7.441, 7.632, 7.784, 7.985, 8.218, 8.459, 8.663, 9.083, 9.13, 9.156, 9.344, 9.627, 9.857, 10.006, 10.132, 10.308, 10.467, 10.53, 10.879, 11.149, 11.388, 11.452, 11.652, 11.861, 12.081, 12.219, 12.315, 12.528, 12.547, 12.775, 12.987, 13.113, 13.332, 13.418, 13.656, 13.819, 13.989, 14.086, 14.48, 14.664, 14.848, 14.978, 15.048, 15.342, 15.442, 15.657, 15.762, 15.82, 15.737, 15.699, 15.628]
[0.05, 0.06, 0.06666666666666667, 0.07, 0.074, 0.075, 0.08857142857142856, 0.09875, 0.11666666666666667, 0.123, 0.137, 0.16, 0.176, 0.178, 0.2, 0.219, 0.221, 0.232, 0.237, 0.24, 0.249, 0.242, 0.244, 0.256, 0.256, 0.261, 0.283, 0.28, 0.27, 0.278, 0.28, 0.278, 0.271, 0.266, 0.264, 0.275, 0.263, 0.275, 0.275, 0.266, 0.255, 0.265, 0.278, 0.302, 0.312, 0.303, 0.308, 0.321, 0.328, 0.347, 0.394, 0.421, 0.444, 0.442, 0.436, 0.429, 0.415, 0.404, 0.429, 0.43, 0.403, 0.397, 0.371, 0.373, 0.38, 0.378, 0.424, 0.432, 0.421, 0.411, 0.404, 0.383, 0.405, 0.407, 0.431, 0.467, 0.501, 0.53, 0.598, 0.679, 0.721, 0.777, 0.801, 0.826, 0.816, 0.826, 0.817, 0.829, 0.819, 0.827, 0.832, 0.817, 0.822, 0.809, 0.818, 0.795, 0.795, 0.752, 0.706, 0.64, 0.651, 0.658, 0.658, 0.682, 0.698, 0.744, 0.748, 0.823, 0.889, 0.965, 1.015, 1.155, 1.421, 1.698, 2.019, 2.287, 2.619, 2.94, 3.275, 3.637, 4.001, 4.345, 4.471, 4.631, 4.772, 4.913, 5.09, 5.224, 5.38, 5.524, 5.717, 5.847, 5.994, 6.131, 6.2, 6.447, 6.507, 6.497, 6.547, 6.622, 6.606, 6.647, 6.796, 6.851, 6.986, 6.962, 7.006, 7.218, 7.297, 7.279, 7.358, 7.299, 7.323, 7.355, 7.281, 7.265, 7.35, 7.396, 7.347, 7.43, 7.562, 7.745, 7.942, 8.02, 8.236, 8.485, 8.669, 8.91, 9.197, 9.438, 9.636, 9.777, 9.956, 10.325, 10.617, 10.903, 11.174, 11.4, 11.741, 12.087, 12.386, 12.704, 13.046, 13.275, 13.528, 13.85, 14.073, 14.367, 14.643, 14.789, 14.792, 14.93, 14.803, 14.838, 14.757, 14.748, 14.648, 14.503, 14.339]
[0.07, 0.1, 0.09333333333333334, 0.12, 0.148, 0.155, 0.16285714285714287, 0.17375, 0.18333333333333332, 0.183, 0.189, 0.193, 0.204, 0.201, 0.207, 0.21, 0.211, 0.208, 0.201, 0.195, 0.202, 0.21, 0.209, 0.22, 0.215, 0.22, 0.222, 0.216, 0.229, 0.246, 0.255, 0.249, 0.26, 0.259, 0.263, 0.26, 0.265, 0.272, 0.262, 0.259, 0.25, 0.257, 0.243, 0.242, 0.24, 0.235, 0.226, 0.225, 0.22, 0.214, 0.231, 0.229, 0.243, 0.248, 0.248, 0.254, 0.274, 0.29, 0.3, 0.297, 0.281, 0.302, 0.294, 0.305, 0.321, 0.33, 0.315, 0.298, 0.309, 0.321, 0.327, 0.311, 0.313, 0.306, 0.299, 0.314, 0.313, 0.321, 0.323, 0.329, 0.336, 0.346, 0.375, 0.383, 0.383, 0.423, 0.462, 0.496, 0.508, 0.516, 0.552, 0.59, 0.62, 0.681, 0.706, 0.712, 0.767, 0.82, 0.866, 0.952, 0.963, 0.965, 0.951, 0.913, 0.905, 0.902, 0.882, 0.879, 0.902, 0.858, 0.859, 0.9, 0.951, 0.973, 1.005, 1.012, 1.027, 1.028, 1.05, 1.059, 1.108, 1.125, 1.102, 1.094, 1.126, 1.158, 1.237, 1.312, 1.348, 1.547, 1.798, 2.125, 2.457, 2.797, 3.213, 3.587, 3.923, 4.302, 4.663, 4.999, 5.266, 5.538, 5.888, 6.156, 6.447, 6.76, 7.187, 7.459, 7.765, 8.084, 8.271, 8.44, 8.56, 8.797, 8.859, 9.18, 9.208, 9.265, 9.439, 9.475, 9.658, 9.655, 9.858, 9.923, 10.256, 10.145, 10.241, 10.518, 10.519, 10.756, 10.842, 10.98, 10.929, 11.102, 11.038, 11.147, 11.213, 11.28, 11.691, 11.834, 12.097, 12.42, 12.769, 13.11, 13.402, 13.62, 13.998, 14.172, 14.252, 14.36, 14.423, 14.48, 14.449, 14.352, 14.35, 14.4, 14.303, 14.438, 14.511]
[0.03, 0.035, 0.03666666666666667, 0.055, 0.096, 0.10166666666666667, 0.11714285714285715, 0.13, 0.15333333333333332, 0.162, 0.184, 0.2, 0.221, 0.232, 0.222, 0.23, 0.223, 0.22, 0.2, 0.19, 0.182, 0.184, 0.173, 0.168, 0.17, 0.183, 0.192, 0.193, 0.199, 0.214, 0.229, 0.237, 0.241, 0.26, 0.279, 0.279, 0.28, 0.284, 0.295, 0.294, 0.287, 0.294, 0.301, 0.281, 0.274, 0.274, 0.276, 0.285, 0.282, 0.284, 0.283, 0.282, 0.292, 0.308, 0.312, 0.312, 0.309, 0.331, 0.331, 0.332, 0.344, 0.339, 0.351, 0.357, 0.37, 0.371, 0.384, 0.373, 0.435, 0.472, 0.477, 0.501, 0.493, 0.493, 0.492, 0.505, 0.547, 0.551, 0.516, 0.496, 0.518, 0.503, 0.51, 0.526, 0.528, 0.52, 0.484, 0.482, 0.469, 0.47, 0.45, 0.457, 0.466, 0.469, 0.503, 0.532, 0.568, 0.633, 0.694, 0.764, 0.827, 0.876, 0.992, 1.067, 1.098, 1.172, 1.268, 1.319, 1.358, 1.451, 1.657, 1.893, 2.129, 2.466, 2.791, 3.089, 3.419, 3.682, 4.041, 4.369, 4.545, 4.835, 4.922, 4.995, 5.227, 5.349, 5.431, 5.652, 5.699, 5.767, 5.965, 5.976, 6.207, 6.337, 6.391, 6.515, 6.613, 6.759, 7.021, 7.209, 7.16, 7.294, 7.308, 7.408, 7.412, 7.477, 7.559, 7.586, 7.604, 7.644, 7.802, 7.934, 8.08, 8.202, 8.516, 8.767, 9.12, 9.385, 9.667, 9.977, 10.327, 10.598, 11.001, 11.364, 11.442, 11.543, 11.431, 11.591, 11.657, 11.669, 11.889, 11.838, 11.85, 11.856, 11.956, 12.099, 12.401, 12.396, 12.664, 12.901, 12.938, 13.25, 13.317, 13.355, 13.567, 13.81, 13.92, 14.181, 14.097, 14.09, 14.032, 14.08, 14.149, 14.314, 14.393, 14.378, 14.485, 14.562, 14.635]
[0.04, 0.045, 0.06333333333333334, 0.075, 0.094, 0.13166666666666665, 0.15, 0.17, 0.17333333333333334, 0.184, 0.203, 0.224, 0.239, 0.253, 0.243, 0.227, 0.219, 0.209, 0.204, 0.192, 0.187, 0.187, 0.188, 0.195, 0.211, 0.21, 0.215, 0.225, 0.229, 0.233, 0.247, 0.251, 0.248, 0.254, 0.254, 0.281, 0.281, 0.281, 0.296, 0.306, 0.3, 0.299, 0.298, 0.29, 0.301, 0.291, 0.294, 0.282, 0.272, 0.275, 0.282, 0.308, 0.321, 0.345, 0.361, 0.387, 0.449, 0.471, 0.513, 0.524, 0.526, 0.513, 0.518, 0.51, 0.502, 0.505, 0.467, 0.488, 0.47, 0.463, 0.504, 0.527, 0.568, 0.563, 0.572, 0.572, 0.579, 0.6, 0.652, 0.722, 0.757, 0.812, 0.864, 0.905, 0.923, 0.925, 0.939, 0.932, 0.895, 0.856, 0.832, 0.793, 0.734, 0.743, 0.764, 0.813, 0.817, 0.844, 0.896, 0.932, 0.935, 0.966, 1.012, 1.056, 1.111, 1.157, 1.288, 1.337, 1.347, 1.365, 1.442, 1.527, 1.622, 1.66, 1.647, 1.675, 1.745, 1.889, 2.106, 2.386, 2.525, 2.69, 2.931, 3.171, 3.517, 3.748, 4.005, 4.273, 4.408, 4.589, 4.965, 5.22, 5.456, 5.738, 5.981, 6.377, 6.627, 6.779, 7.044, 7.321, 7.404, 7.594, 7.684, 7.776, 7.886, 7.947, 8.087, 8.376, 8.615, 8.617, 8.81, 8.886, 8.942, 9.165, 9.292, 9.316, 9.409, 9.403, 9.335, 9.488, 9.614, 9.8, 10.06, 10.195, 10.31, 10.706, 10.908, 11.064, 11.388, 11.626, 11.698, 11.738, 11.872, 12.059, 12.322, 12.269, 12.331, 12.494, 12.588, 12.815, 13.145, 13.607, 13.941, 14.151, 14.318, 14.593, 14.834, 15.134, 15.413, 15.682, 15.981, 16.124, 16.163, 16.404, 16.633, 16.821, 16.997, 17.094, 17.078]
[0.04, 0.04, 0.04666666666666667, 0.0625, 0.082, 0.09166666666666666, 0.11285714285714285, 0.12, 0.1322222222222222, 0.147, 0.169, 0.19, 0.202, 0.209, 0.219, 0.224, 0.213, 0.212, 0.21, 0.202, 0.207, 0.203, 0.204, 0.213, 0.206, 0.202, 0.202, 0.206, 0.211, 0.218, 0.207, 0.202, 0.215, 0.215, 0.22, 0.231, 0.25, 0.268, 0.269, 0.27, 0.28, 0.289, 0.28, 0.287, 0.29, 0.287, 0.28, 0.266, 0.274, 0.291, 0.303, 0.311, 0.324, 0.321, 0.34, 0.376, 0.4, 0.426, 0.433, 0.45, 0.448, 0.449, 0.441, 0.437, 0.427, 0.404, 0.401, 0.395, 0.392, 0.383, 0.39, 0.401, 0.424, 0.441, 0.448, 0.462, 0.491, 0.512, 0.53, 0.552, 0.571, 0.585, 0.584, 0.59, 0.605, 0.606, 0.578, 0.565, 0.556, 0.541, 0.523, 0.504, 0.528, 0.545, 0.571, 0.587, 0.646, 0.704, 0.762, 0.813, 0.866, 0.973, 1.021, 1.074, 1.125, 1.199, 1.221, 1.29, 1.396, 1.522, 1.591, 1.66, 1.832, 2.044, 2.309, 2.615, 3.004, 3.296, 3.683, 3.987, 4.344, 4.704, 4.958, 5.176, 5.297, 5.378, 5.463, 5.618, 5.63, 5.76, 5.785, 5.744, 5.803, 5.791, 5.841, 6.043, 6.088, 6.112, 6.2, 6.246, 6.335, 6.537, 6.629, 6.905, 7.12, 7.137, 7.424, 7.645, 7.727, 7.901, 8.144, 8.263, 8.455, 8.505, 8.603, 8.699, 8.684, 8.661, 8.875, 8.938, 9.041, 9.096, 9.241, 9.358, 9.544, 9.858, 10.098, 10.397, 10.567, 10.761, 10.796, 11.063, 11.2, 11.285, 11.473, 11.523, 11.626, 11.738, 11.952, 12.209, 12.692, 12.994, 13.263, 13.609, 13.812, 14.048, 14.242, 14.426, 14.443, 14.513, 14.48, 14.448, 14.416, 14.334, 14.25, 14.237, 14.144, 14.119, 14.097]
[0.04, 0.07, 0.08333333333333333, 0.0975, 0.13, 0.15166666666666667, 0.18, 0.17875, 0.1811111111111111, 0.192, 0.226, 0.241, 0.251, 0.25, 0.251, 0.248, 0.237, 0.246, 0.255, 0.254, 0.251, 0.246, 0.245, 0.258, 0.259, 0.258, 0.254, 0.25, 0.245, 0.231, 0.213, 0.21, 0.221, 0.216, 0.224, 0.229, 0.247, 0.264, 0.27, 0.29, 0.295, 0.314, 0.323, 0.347, 0.345, 0.362, 0.362, 0.35, 0.342, 0.331, 0.338, 0.333, 0.327, 0.311, 0.308, 0.3, 0.303, 0.315, 0.343, 0.352, 0.356, 0.357, 0.357, 0.385, 0.415, 0.421, 0.416, 0.433, 0.431, 0.448, 0.486, 0.534, 0.554, 0.556, 0.533, 0.524, 0.541, 0.524, 0.515, 0.518, 0.516, 0.494, 0.487, 0.488, 0.52, 0.545, 0.568, 0.638, 0.736, 0.794, 0.825, 0.851, 0.904, 0.925, 0.919, 0.936, 0.924, 0.866, 0.79, 0.728, 0.717, 0.709, 0.66, 0.649, 0.679, 0.674, 0.659, 0.682, 0.67, 0.695, 0.662, 0.676, 0.688, 0.697, 0.671, 0.67, 0.706, 0.7, 0.735, 0.751, 0.804, 0.803, 0.833, 0.835, 0.875, 0.91, 0.955, 1.07, 1.195, 1.33, 1.579, 1.891, 2.214, 2.533, 2.932, 3.258, 3.635, 4.066, 4.508, 4.927, 5.261, 5.549, 5.905, 6.226, 6.501, 6.835, 7.098, 7.281, 7.377, 7.482, 7.754, 8.072, 8.215, 8.513, 8.65, 8.759, 8.888, 8.916, 9.06, 9.313, 9.357, 9.293, 9.287, 9.284, 9.525, 9.68, 9.817, 9.987, 10.082, 10.151, 10.202, 10.382, 10.63, 10.715, 10.706, 10.926, 11.234, 11.453, 11.754, 12.006, 12.276, 12.418, 12.516, 12.725, 12.886, 12.978, 12.918, 12.958, 13.132, 13.196, 13.212, 13.437, 13.564, 13.711, 13.736, 13.762, 13.885, 14.08, 14.086]
